"","year","Codigo","Season","Punto_de_muestreo","Iluminacion","Cobertura","Soil_respiration","PAR","T_suelo","Hora"
"1","2017",101,"August",1,5,"Under canopy",0.29,0,18.2,"05:13"
"2","2017",102,"August",2,5,"Under canopy",0.46,0,18.4,"05:18"
"3","2017",103,"August",3,5,"Under canopy",0.38,0,18.9,"05:22"
"4","2017",104,"August",4,5,"Under canopy",0.25,0,19,"05:25"
"5","2017",105,"August",5,5,"Under canopy",0.54,0,19.1,"05:28"
"6","2017",106,"August",6,5,"Under canopy",0.32,0,19.4,"05:32"
"7","2017",107,"August",7,5,"Under canopy",0.42,0,19.1,"05:37"
"8","2017",108,"August",8,5,"Under canopy",0.3,34.8,19.3,"07:14"
"9","2017",109,"August",9,5,"Under canopy",0.29,0,19.4,"05:40"
"10","2017",110,"August",10,5,"Under canopy",0.24,0,19.2,"06:41"
"11","2017",111,"August",11,5,"Under canopy",0.31,0,19.3,"06:07"
"12","2017",112,"August",12,5,"Under canopy",0.44,0.1,18.8,"06:11"
"13","2017",113,"August",13,5,"Under canopy",0.4,0.1,18.5,"05:47"
"14","2017",114,"August",14,5,"Under canopy",0.38,0,18.5,"05:52"
"15","2017",115,"August",15,5,"Under canopy",0.41,0,18.9,"06:03"
"16","2017",116,"August",16,5,"Under canopy",0.27,0.6,19.2,"06:26"
"17","2017",117,"August",17,5,"Under canopy",0.26,0.2,18.2,"06:15"
"18","2017",118,"August",18,5,"Under canopy",0.37,1.3,18.9,"06:30"
"19","2017",119,"August",19,5,"Under canopy",0.36,0.1,18.7,"06:22"
"20","2017",120,"August",20,5,"Under canopy",0.5,0.1,18.7,"06:19"
"21","2017",121,"August",21,5,"Canopy interspace",0.18,5.6,19,"06:33"
"22","2017",122,"August",22,5,"Canopy interspace",0.07,9.7,19,"06:37"
"23","2017",123,"August",23,5,"Canopy interspace",0.08,13.8,19.4,"06:45"
"24","2017",124,"August",24,5,"Canopy interspace",0.11,0,19,"05:59"
