"","year","Codigo","Season","Punto_de_muestreo","Iluminacion","Cobertura","Soil_respiration","PAR","T_suelo","Hora"
"1","2018",101,"April",1,5,"Under canopy",0,0,23.7,"0.21527777777777779"
"2","2018",102,"April",2,5,"Under canopy",0,0,23.7,"0.21875"
"3","2018",103,"April",3,5,"Under canopy",0,0.1,24.4,"0.22083333333333333"
"4","2018",104,"April",4,5,"Under canopy",0,0,23.8,"0.23055555555555554"
"5","2018",105,"April",5,5,"Under canopy",0.01,0,23.8,"0.22847222222222222"
"6","2018",106,"April",6,5,"Under canopy",0.01,0,24.1,"0.22569444444444445"
"7","2018",107,"April",7,5,"Under canopy",0.01,42.3,23.3,"0.28472222222222221"
"8","2018",108,"April",8,5,"Under canopy",0.01,81.3,25.1,"0.30902777777777779"
"9","2018",109,"April",9,5,"Under canopy",0,0.9,23.3,"0.25416666666666665"
"10","2018",110,"April",10,5,"Under canopy",0.01,50,23.3,"0.29097222222222224"
"11","2018",111,"April",11,5,"Under canopy",0.01,4.3,22.9,"0.25972222222222224"
"12","2018",112,"April",12,5,"Under canopy",0,3.3,22.7,"0.26250000000000001"
"13","2018",113,"April",13,5,"Under canopy",0.01,0,23,"0.23819444444444446"
"14","2018",114,"April",14,5,"Under canopy",0.01,0,22.4,"0.24722222222222223"
"15","2018",115,"April",15,5,"Under canopy",0.01,0,22.4,"0.25069444444444444"
"16","2018",116,"April",16,5,"Under canopy",0.01,11.8,22.9,"0.2722222222222222"
"17","2018",117,"April",17,5,"Under canopy",0.01,5.5,22.6,"0.26527777777777778"
"18","2018",118,"April",18,5,"Under canopy",0.01,20.2,23.1,"0.27499999999999997"
"19","2018",119,"April",19,5,"Under canopy",0.01,6,23.1,"0.26944444444444443"
"20","2018",120,"April",20,5,"Under canopy",0.01,4.6,22.9,"0.2673611111111111"
"21","2018",121,"April",21,5,"Canopy interspace",0.01,44.8,22.5,"0.27777777777777779"
"22","2018",122,"April",22,5,"Canopy interspace",0.01,63.9,22.8,"0.28819444444444448"
"23","2018",123,"April",23,5,"Canopy interspace",0.01,65.6,22.4,"0.28055555555555556"
"24","2018",124,"April",24,5,"Canopy interspace",0.01,4.8,23.1,"0.25763888888888892"
"25","2018",125,"April",25,5,"Canopy interspace",0.02,87.9,24.1,"0.29375000000000001"
"26","2018",126,"April",26,5,"Canopy interspace",0.02,64.3,23.7,"0.29583333333333334"
"27","2018",127,"April",27,5,"Canopy interspace",0.02,110.1,23.6,"0.29791666666666666"
"28","2018",128,"April",28,5,"Canopy interspace",0.02,127.1,24,"0.30069444444444443"
"29","2018",129,"April",29,5,"Canopy interspace",0.01,133.1,24.4,"0.3034722222222222"
"30","2018",130,"April",30,5,"Canopy interspace",0.01,180.8,24.6,"0.30555555555555552"
"31","2018",201,"April",1,9,"Under canopy",0.03,1049.3,30.3,"0.37361111111111112"
"32","2018",202,"April",2,9,"Under canopy",0.02,583.5,29.7,"0.37638888888888888"
"33","2018",203,"April",3,9,"Under canopy",0.01,429.8,31,"0.37916666666666665"
"34","2018",204,"April",4,9,"Under canopy",0.02,562,32.1,"0.3840277777777778"
"35","2018",205,"April",5,9,"Under canopy",0.01,861.9,35.1,"0.38611111111111113"
"36","2018",206,"April",6,9,"Under canopy",0.01,1087.8,35.1,"0.38750000000000001"
"37","2018",207,"April",7,9,"Under canopy",0.02,381.7,33.8,"0.39513888888888887"
