"","Zona","Fecha","Temperatura","Hum_Rel","Rocio","Dia","Hora","Iluminacion"
"1","Fuera","2017.06.10 00:09:37",19.8,79.8,16.2,10,0,"N"
"2","Fuera","2017.06.10 00:19:37",19.9,79.7,16.3,10,0,"N"
"3","Fuera","2017.06.10 00:29:37",19.9,79.6,16.3,10,0,"N"
"4","Fuera","2017.06.10 00:39:37",20,79.6,16.4,10,0,"N"
"5","Fuera","2017.06.10 00:49:37",20.1,79.3,16.4,10,0,"N"
"6","Fuera","2017.06.10 00:59:37",20.2,79.1,16.5,10,0,"N"
"7","Fuera","2017.06.10 01:09:37",20.2,79,16.5,10,1,"N"
"8","Fuera","2017.06.10 01:19:37",20.3,78.8,16.5,10,1,"N"
"9","Fuera","2017.06.10 01:29:37",20.3,78.8,16.5,10,1,"N"
"10","Fuera","2017.06.10 01:39:37",20.3,78.8,16.5,10,1,"N"
"11","Fuera","2017.06.10 01:49:37",20.3,78.7,16.5,10,1,"N"
"12","Fuera","2017.06.10 01:59:37",20.4,78.6,16.5,10,1,"N"
"13","Fuera","2017.06.10 02:09:37",20.4,78.5,16.5,10,2,"N"
"14","Fuera","2017.06.10 02:19:37",20.3,78.4,16.4,10,2,"N"
"15","Fuera","2017.06.10 02:29:37",20.3,78.4,16.5,10,2,"N"
"16","Fuera","2017.06.10 02:39:37",20.3,78.5,16.5,10,2,"N"
"17","Fuera","2017.06.10 02:49:37",20.4,78.4,16.5,10,2,"N"
"18","Fuera","2017.06.10 02:59:37",20.4,78.4,16.5,10,2,"N"
"19","Fuera","2017.06.10 03:09:37",20.4,78.5,16.5,10,3,"N"
"20","Fuera","2017.06.10 03:19:37",20.4,78.3,16.5,10,3,"N"
"21","Fuera","2017.06.10 03:29:37",20.3,78.3,16.4,10,3,"N"
"22","Fuera","2017.06.10 03:39:37",20.3,78.4,16.4,10,3,"N"
"23","Fuera","2017.06.10 03:49:37",20.3,78.4,16.4,10,3,"N"
"24","Fuera","2017.06.10 03:59:37",20.3,78.3,16.4,10,3,"N"
"25","Fuera","2017.06.10 04:09:37",20.3,78.3,16.4,10,4,"N"
"26","Fuera","2017.06.10 04:19:37",20.2,78.3,16.3,10,4,"N"
"27","Fuera","2017.06.10 04:29:37",20.1,78.4,16.3,10,4,"N"
"28","Fuera","2017.06.10 04:39:37",20.1,78.6,16.3,10,4,"N"
"29","Fuera","2017.06.10 04:49:37",20.1,78.7,16.3,10,4,"N"
"30","Fuera","2017.06.10 04:59:37",20.1,78.7,16.3,10,4,"N"
"31","Fuera","2017.06.10 05:09:37",20,78.8,16.2,10,5,"N"
"32","Fuera","2017.06.10 05:19:37",20,78.8,16.2,10,5,"N"
"33","Fuera","2017.06.10 05:29:37",20,78.9,16.2,10,5,"N"
"34","Fuera","2017.06.10 05:39:37",20,78.8,16.3,10,5,"N"
"35","Fuera","2017.06.10 05:49:37",20,78.9,16.3,10,5,"N"
"36","Fuera","2017.06.10 05:59:37",20,79,16.3,10,5,"N"
"37","Fuera","2017.06.10 06:09:37",20.1,79,16.3,10,6,"N"
"38","Fuera","2017.06.10 06:19:37",20,78.9,16.3,10,6,"N"
"39","Fuera","2017.06.10 06:29:37",20,79,16.3,10,6,"N"
"40","Fuera","2017.06.10 06:39:37",20,79,16.3,10,6,"N"
"41","Fuera","2017.06.10 06:49:37",20,79.2,16.3,10,6,"N"
"42","Fuera","2017.06.10 06:59:37",20.1,79.3,16.4,10,6,"N"
"43","Fuera","2017.06.10 07:09:37",20.3,79.2,16.5,10,7,"N"
"44","Fuera","2017.06.10 07:19:37",20.5,79,16.7,10,7,"N"
"45","Fuera","2017.06.10 07:29:37",20.7,78.7,16.9,10,7,"N"
"46","Fuera","2017.06.10 07:39:37",21,78.2,17,10,7,"N"
"47","Fuera","2017.06.10 07:49:37",21.4,77.8,17.4,10,7,"N"
"48","Fuera","2017.06.10 07:59:37",21.8,76.9,17.6,10,7,"N"
"49","Fuera","2017.06.10 08:09:37",22,76.3,17.6,10,8,"D"
"50","Fuera","2017.06.10 08:19:37",22,75.9,17.5,10,8,"D"
"51","Fuera","2017.06.10 08:29:37",22,75.8,17.5,10,8,"D"
"52","Fuera","2017.06.10 08:39:37",22.1,75.6,17.6,10,8,"D"
"53","Fuera","2017.06.10 08:49:37",22.3,75.4,17.7,10,8,"D"
"54","Fuera","2017.06.10 08:59:37",22.8,74.7,18,10,8,"D"
"55","Fuera","2017.06.10 09:09:37",22.9,74.1,18.1,10,9,"D"
"56","Fuera","2017.06.10 09:19:37",23.3,73.6,18.3,10,9,"D"
"57","Fuera","2017.06.10 09:29:37",23.6,72.8,18.4,10,9,"D"
"58","Fuera","2017.06.10 09:39:37",23.9,72.3,18.6,10,9,"D"
"59","Fuera","2017.06.10 09:49:37",24.6,71.2,19,10,9,"D"
"60","Fuera","2017.06.10 09:59:37",25.5,69.7,19.5,10,9,"D"
"61","Fuera","2017.06.10 10:09:37",27.3,67.3,20.7,10,10,"D"
"62","Fuera","2017.06.10 10:19:37",28.8,63.6,21.2,10,10,"D"
"63","Fuera","2017.06.10 10:29:37",29.4,61.3,21.2,10,10,"D"
"64","Fuera","2017.06.10 10:39:37",29.9,59.9,21.2,10,10,"D"
"65","Fuera","2017.06.10 10:49:37",29.5,59,20.7,10,10,"D"
"66","Fuera","2017.06.10 10:59:37",29.4,58.8,20.5,10,10,"D"
"67","Fuera","2017.06.10 11:09:37",29.4,58.6,20.4,10,11,"D"
"68","Fuera","2017.06.10 11:19:37",29.7,58.1,20.6,10,11,"D"
"69","Fuera","2017.06.10 11:29:37",30.2,57,20.7,10,11,"D"
"70","Fuera","2017.06.10 11:39:37",30.5,56.3,20.8,10,11,"D"
"71","Fuera","2017.06.10 11:49:37",31.2,55.5,21.2,10,11,"D"
"72","Fuera","2017.06.10 11:59:37",31.7,54,21.2,10,11,"D"
"73","Fuera","2017.06.10 12:09:37",32,53.2,21.3,10,12,"D"
"74","Fuera","2017.06.10 12:19:37",32.3,52.7,21.4,10,12,"D"
"75","Fuera","2017.06.10 12:29:37",33.3,51.3,21.9,10,12,"D"
"76","Fuera","2017.06.10 12:39:37",33.9,50,22,10,12,"D"
"77","Fuera","2017.06.10 12:49:37",32.7,50,20.9,10,12,"D"
"78","Fuera","2017.06.10 12:59:37",31.5,51.5,20.3,10,12,"D"
"79","Fuera","2017.06.10 13:09:37",32.3,51.3,21,10,13,"D"
"80","Fuera","2017.06.10 13:19:37",34.1,50.1,22.2,10,13,"D"
"81","Fuera","2017.06.10 13:29:37",37.3,46.6,23.9,10,13,"D"
"82","Fuera","2017.06.10 13:39:37",38.9,43.7,24.3,10,13,"D"
"83","Fuera","2017.06.10 13:49:37",41,41.4,25.3,10,13,"D"
"84","Fuera","2017.06.10 13:59:37",41.6,39.5,25,10,13,"D"
"85","Fuera","2017.06.10 14:09:37",40.6,39.5,24.1,10,14,"D"
"86","Fuera","2017.06.10 14:19:37",38.2,40.4,22.3,10,14,"D"
"87","Fuera","2017.06.10 14:29:37",36.7,41.8,21.6,10,14,"D"
"88","Fuera","2017.06.10 14:39:37",36.9,42.9,22.2,10,14,"D"
"89","Fuera","2017.06.10 14:49:37",37,42.4,22.1,10,14,"D"
"90","Fuera","2017.06.10 14:59:37",35.5,43.4,21.1,10,14,"D"
"91","Fuera","2017.06.10 15:09:37",35.7,44.2,21.6,10,15,"D"
"92","Fuera","2017.06.10 15:19:37",37.1,43.2,22.5,10,15,"D"
