"","Zona","Fecha","Temperatura","Hum_Rel","Rocio","Dia","Hora"
"93","Fuera","2018.05.17 00:06:20",20,80.9,16.6,"17","00"
"94","Fuera","2018.05.17 00:16:20",20,81.1,16.7,"17","00"
"95","Fuera","2018.05.17 00:26:20",20.1,81.1,16.8,"17","00"
"96","Fuera","2018.05.17 00:36:20",20.1,80.9,16.7,"17","00"
"97","Fuera","2018.05.17 00:46:20",20,81,16.6,"17","00"
"98","Fuera","2018.05.17 00:56:20",20,81.1,16.7,"17","00"
"99","Fuera","2018.05.17 01:06:20",19.8,82.7,16.7,"17","01"
"100","Fuera","2018.05.17 01:16:20",19.6,83.8,16.8,"17","01"
"101","Fuera","2018.05.17 01:26:20",19.5,84.4,16.8,"17","01"
"102","Fuera","2018.05.17 01:36:20",19.5,84.7,16.8,"17","01"
"103","Fuera","2018.05.17 01:46:20",19.6,84.9,17,"17","01"
"104","Fuera","2018.05.17 01:56:20",19.6,84.9,17,"17","01"
"105","Fuera","2018.05.17 02:06:20",19.6,85.2,17,"17","02"
"106","Fuera","2018.05.17 02:16:20",19.5,85.5,17,"17","02"
"107","Fuera","2018.05.17 02:26:20",19.4,85.6,16.9,"17","02"
"108","Fuera","2018.05.17 02:36:20",19.3,85.7,16.9,"17","02"
"109","Fuera","2018.05.17 02:46:20",19.4,85.8,17,"17","02"
"110","Fuera","2018.05.17 02:56:20",19.5,85.7,17,"17","02"
"111","Fuera","2018.05.17 03:06:20",19.5,85.6,17,"17","03"
"112","Fuera","2018.05.17 03:16:20",19.5,85.4,17,"17","03"
"113","Fuera","2018.05.17 03:26:20",19.5,85.3,16.9,"17","03"
"114","Fuera","2018.05.17 03:36:20",19.5,85.2,16.9,"17","03"
"115","Fuera","2018.05.17 03:46:20",19.4,85,16.9,"17","03"
"116","Fuera","2018.05.17 03:56:20",19.4,84.9,16.8,"17","03"
"117","Fuera","2018.05.17 04:06:20",19.4,84.8,16.7,"17","04"
"118","Fuera","2018.05.17 04:16:20",19.3,84.7,16.7,"17","04"
"119","Fuera","2018.05.17 04:26:20",19.3,84.5,16.7,"17","04"
"120","Fuera","2018.05.17 04:36:20",19.3,84.4,16.6,"17","04"
"121","Fuera","2018.05.17 04:46:20",19.3,84.4,16.6,"17","04"
"122","Fuera","2018.05.17 04:56:20",19.3,84.4,16.6,"17","04"
"123","Fuera","2018.05.17 05:06:20",19.3,84.2,16.6,"17","05"
"124","Fuera","2018.05.17 05:16:20",19.3,84.1,16.6,"17","05"
"125","Fuera","2018.05.17 05:26:20",19.3,84,16.6,"17","05"
"126","Fuera","2018.05.17 05:36:20",19.3,83.9,16.5,"17","05"
"127","Fuera","2018.05.17 05:46:20",19.1,84.1,16.3,"17","05"
"128","Fuera","2018.05.17 05:56:20",18.9,84.4,16.3,"17","05"
"129","Fuera","2018.05.17 06:06:20",18.9,84.7,16.3,"17","06"
"130","Fuera","2018.05.17 06:16:20",18.9,84.9,16.3,"17","06"
"131","Fuera","2018.05.17 06:26:20",18.9,85,16.4,"17","06"
"132","Fuera","2018.05.17 06:36:20",19,85.1,16.5,"17","06"
