"","Codigo","Season","Punto_de_muestreo","Iluminacion","Cobertura","Soil_respiration","PAR","T_suelo","Hora"
"1",101,"April",1,5,"Under canopy",0,0,23.7,"05:10"
"2",102,"April",2,5,"Under canopy",0,0,23.7,"05:15"
"3",103,"April",3,5,"Under canopy",0,0.1,0,"05:18"
"4",104,"April",4,5,"Under canopy",0,0,23.8,"05:32"
"5",105,"April",5,5,"Under canopy",0.01,0,23.8,"05:29"
"6",106,"April",6,5,"Under canopy",0.01,0,24.1,"05:25"
"7",107,"April",7,5,"Under canopy",0.01,42.3,23.3,"06:50"
"8",108,"April",8,5,"Under canopy",0.01,81.3,25.1,"07:25"
"9",109,"April",9,5,"Under canopy",0,0.9,23.3,"06:06"
"10",110,"April",10,5,"Under canopy",0.01,50,23.3,"06:59"
"11",111,"April",11,5,"Under canopy",0.01,4.3,22.9,"06:14"
"12",112,"April",12,5,"Under canopy",0,3.3,22.7,"06:18"
"13",113,"April",13,5,"Under canopy",0.01,0,23,"05:43"
"14",114,"April",14,5,"Under canopy",0.01,0,22.4,"05:56"
"15",115,"April",15,5,"Under canopy",0.01,0,22.4,"06:01"
"16",116,"April",16,5,"Under canopy",0.01,11.8,22.9,"06:32"
"17",117,"April",17,5,"Under canopy",0.01,5.5,22.6,"06:22"
"18",118,"April",18,5,"Under canopy",0.01,20.2,23.1,"06:36"
"19",119,"April",19,5,"Under canopy",0.01,6,23.1,"06:28"
"20",120,"April",20,5,"Under canopy",0.01,4.6,22.9,"06:25"
"21",121,"April",21,5,"Canopy interspace",0.01,44.8,22.5,"06:40"
"22",122,"April",22,5,"Canopy interspace",0.01,63.9,22.8,"06:55"
"23",123,"April",23,5,"Canopy interspace",0.01,65.6,22.4,"06:44"
"24",124,"April",24,5,"Canopy interspace",0.01,4.8,23.1,"06:11"
"25",125,"April",25,5,"Canopy interspace",0.02,87.9,24.1,"07:03"
"26",126,"April",26,5,"Canopy interspace",0.02,64.3,23.7,"07:06"
"27",127,"April",27,5,"Canopy interspace",0.02,110.1,23.6,"07:09"
"28",128,"April",28,5,"Canopy interspace",0.02,127.1,24,"07:13"
"29",129,"April",29,5,"Canopy interspace",0.01,133.1,24.4,"07:17"
"30",130,"April",30,5,"Canopy interspace",0.01,180.8,24.6,"07:20"
"31",201,"April",1,9,"Under canopy",0.03,1049.3,30.3,"08:58"
"32",202,"April",2,9,"Under canopy",0.02,583.5,29.7,"09:02"
"33",203,"April",3,9,"Under canopy",0.01,429.8,31,"09:06"
"34",204,"April",4,9,"Under canopy",0.02,562,32.1,"09:13"
"35",205,"April",5,9,"Under canopy",0.01,861.9,35.1,"09:16"
"36",206,"April",6,9,"Under canopy",0.01,1087.8,35.1,"09:18"
"37",207,"April",7,9,"Under canopy",0.02,381.7,33.8,"09:29"
"38",208,"April",8,9,"Under canopy",0.01,957.6,33.4,"09:22"
"39",209,"April",9,9,"Under canopy",0.01,689.5,34.4,"09:25"
"40",210,"April",10,9,"Under canopy",0.01,826.7,34.3,"10:17"
"41",211,"April",11,9,"Under canopy",0,244.2,30.4,"09:47"
"42",212,"April",12,9,"Under canopy",0,160.3,31.5,"09:53"
"43",213,"April",13,9,"Under canopy",0.01,305.6,31.1,"09:32"
"44",214,"April",14,9,"Under canopy",0.02,1158.2,34.7,"09:36"
"45",215,"April",15,9,"Under canopy",0.01,748.6,32.1,"09:43"
"46",216,"April",16,9,"Under canopy",0.01,564.6,33.2,"10:07"
"47",217,"April",17,9,"Under canopy",0.02,767.8,34.7,"09:57"
"48",218,"April",18,9,"Under canopy",0.01,704.1,34.7,"10:12"
"49",219,"April",19,9,"Under canopy",0.02,1217.7,34.2,"10:04"
"50",220,"April",20,9,"Under canopy",0,182.8,31.4,"10:00"
"51",221,"April",21,9,"Canopy interspace",0.01,1026.1,36.8,"09:50"
"52",222,"April",22,9,"Canopy interspace",0.01,1727.9,39.8,"10:21"
"53",223,"April",23,9,"Canopy interspace",0.02,2081.8,41.3,"10:24"
"54",224,"April",24,9,"Canopy interspace",0.01,1227.1,35.7,"09:40"
"55",225,"April",25,9,"Canopy interspace",0.02,1691.3,44,"10:28"
"56",226,"April",26,9,"Canopy interspace",0.01,2114.8,40.3,"10:31"
"57",227,"April",27,9,"Canopy interspace",0,1721,35.6,"10:35"
"58",228,"April",28,9,"Canopy interspace",0.02,2194.3,43.6,"10:40"
"59",229,"April",29,9,"Canopy interspace",0.01,2098.8,43.9,"10:48"
"60",230,"April",30,9,"Canopy interspace",0.02,2369.3,43.5,"10:44"
"61",301,"April",1,13,"Under canopy",0.02,164.6,33.5,"12:54"
"62",302,"April",2,13,"Under canopy",0.01,211.8,32.7,"12:58"
"63",303,"April",3,13,"Under canopy",0.03,806.8,36,"01:01"
"64",304,"April",4,13,"Under canopy",0.02,1512.6,39.8,"01:04"
"65",305,"April",5,13,"Under canopy",0.02,1179.4,42.7,"01:08"
"66",306,"April",6,13,"Under canopy",0.02,1258.1,39.7,"13:11"
"67",307,"April",7,13,"Under canopy",0.01,923.1,39.2,"13:21"
"68",308,"April",8,13,"Under canopy",0.01,496.8,38.3,"13:15"
"69",309,"April",9,13,"Under canopy",0.01,326.7,39.7,"13:18"
"70",310,"April",10,13,"Under canopy",0.02,1224.1,40.4,"14:14"
"71",311,"April",11,13,"Under canopy",0.01,1162.1,37.9,"13:42"
"72",312,"April",12,13,"Under canopy",0,250,36.6,"13:49"
"73",313,"April",13,13,"Under canopy",0.02,1467.7,38.7,"13:26"
"74",314,"April",14,13,"Under canopy",0.01,485.1,36.6,"13:30"
"75",315,"April",15,13,"Under canopy",0.01,716.2,38.8,"13:38"
"76",316,"April",16,13,"Under canopy",0.01,1237.5,37.4,"02:05"
"77",317,"April",17,13,"Under canopy",0.01,154.4,36.8,"13:53"
"78",318,"April",18,13,"Under canopy",0.02,359,38,"02:09"
"79",319,"April",19,13,"Under canopy",0.01,786.3,38.1,"02:00"
"80",320,"April",20,13,"Under canopy",0,131.8,36,"13:57"
"81",321,"April",21,13,"Canopy interspace",0.02,2280.8,46.2,"13:46"
